AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,170.56182271,171.39769122,174.29897467,164.49394358,166.5179187,163.64878838,156.57621793,154.06915706,136.38365158,119.92106693,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,709.0093215,713.33189472,729.91893494,696.2758934,709.4516849,686.5917019,666.21563491,657.39202831,548.63639619,471.7693151,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.38522211,4.45065807,5.11761087,5.51954775,5.77191529,6.34296278,6.99999433,7.406991,7.69456255,7.42045956,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,23.03435377,23.14386112,24.73156994,25.00432326,22.95832174,22.96671286,22.96997743,22.9593604,21.77206139,19.98364269,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11499821,.09669172,.11073783,.08800141,.07278496,.06971856,.08677035,.05157529,.09605024,.06297945,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.80251327,.7623614,.77891178,.7894211,.76155002,.70523676,.68974794,.64244009,.60524369,.59892627,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,9.75612807,9.66713308,9.85420998,9.2896388,9.65337936,9.71326619,9.8024404,10.02485637,9.12159142,8.24025773,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.0572326,1.99242707,2.19034243,2.12555175,2.04271864,1.94411764,1.86891709,1.72626883,1.5983451,1.51226697,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.3187849,5.39164686,5.44129354,5.16770757,5.3665064,5.32314942,5.12774966,5.1161724,4.30479877,3.83380436,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.68594249,5.60807854,5.61181787,5.38717387,5.6411344,5.77387912,5.63171726,5.77004536,5.18199323,4.30094373,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,9.23551145,8.42789373,8.05857296,7.62422438,7.02490128,6.4745128,5.98261165,5.5278645,4.89181427,4.59033726,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,AIRCRAFT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,37.95842544,37.93438379,37.89834766,38.0615897,38.34968954,38.70163586,39.4080803,40.19196025,41.05849543,41.57564008,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,TRAINS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,183.55872972,176.26568793,169.48224208,166.73619704,162.51919246,157.1027577,151.99064938,132.43450016,115.96655984,92.22850957,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,SHIPS AND COMMERCIAL BOATS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00408716,.00408716,.0128751,.01771346,.01700485,.00413014,.00412381,.00422384,.00423173,.00361356,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OCEAN GOING VESSELS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,26.8533276,28.05550382,29.31147955,30.62596808,32.00422791,33.45213271,34.47647958,35.81065424,34.21278819,29.11529216,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,COMMERCIAL HARBOR CRAFT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,26.29803452,26.72805728,26.41137175,26.15183603,24.78877086,24.74453014,24.51692814,24.21837219,23.83365397,22.12428856,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,18.27586534,19.45039597,20.37812063,21.2927177,21.99265741,22.83995373,23.49285696,24.26341047,23.49591681,23.79258409,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.27767181,.31508487,.38042901,.62840808,.90381931,.9818732,1.09024861,1.31161847,1.39299155,1.82661876,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,297.88799479,299.99665951,291.11549109,285.84735403,278.34051151,268.75670439,254.27283764,232.82845558,207.27128366,176.80725784,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,54.47844692,53.04756904,50.91025021,49.72030477,49.0903584,47.90361254,46.69848519,44.7242212,42.8901975,41.81889286,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,146.56990927,143.69672731,140.47740986,136.88417517,132.74489982,128.5795256,124.27737388,119.5477581,114.4884158,109.7047152,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
