AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2018,2019,2020,2021,2022,v1.03_RF3084
STATEWIDE,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,346.40312487,346.81374741,345.94831621,345.66403757,345.38948326,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,10.42182927,10.45009777,10.49487833,10.53612091,10.57830096,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,MANAGED BURNING AND DISPOSAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,552.09427268,427.10137474,426.74511907,426.44483803,426.14522004,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,COOKING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19980142,.20100377,.20216928,.20336209,.20456513,v1.03_RF3084
STATEWIDE,AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.56334447,.56811949,.5728946,.57766883,.58297359,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,706.97091044,645.02313523,597.24824186,559.25502646,528.51252031,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,143.16939641,127.94525723,115.66717433,105.3272869,96.40694461,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,349.39439749,317.0275309,290.49723352,268.88333892,251.17790541,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,313.7405901,286.84753956,262.25531027,236.23507969,205.64538674,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,42.73408577,37.30460272,32.55220862,28.97650279,26.29010208,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.36628033,3.8900598,3.47300321,3.12164821,2.82570635,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,15.6924104,13.2775023,11.49164099,10.12320377,8.96903569,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.27311097,.9925182,.78703773,.68476852,.62529593,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,11.55774594,10.94495942,10.36024441,9.80243169,9.27253102,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.23274297,3.11380844,3.00166974,2.89413161,2.79448944,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,13.46522077,11.90247831,10.19767269,8.77446961,5.35395572,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,48.0080324,47.32870155,45.86983863,45.54941187,42.66825566,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,144.42519696,140.60819325,137.24554808,134.20424392,131.75670733,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,36.67302415,39.14668029,42.36700579,44.23624753,47.37490955,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.1333424,.13358542,.13272287,.13603972,.13795473,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.17422827,1.10050763,1.05362531,1.05261851,1.04953979,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.38121411,.3818908,.38158602,.38095977,.38056699,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.44414813,3.08140976,2.76929924,2.51021902,2.28737959,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.44649864,.41373334,.37456308,.32068427,.22270683,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.56444161,.47813708,.37406828,.30198175,.16400884,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.96120424,3.2708857,2.65417051,2.12790934,1.75836004,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,AIRCRAFT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,182.95734712,192.37438563,193.7670899,195.3499758,196.97964071,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,TRAINS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,17.7637816,18.15322546,18.51504246,18.70092677,19.07876677,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,SHIPS AND COMMERCIAL BOATS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00064025,.00068613,.00067301,.00067501,.00070047,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OCEAN GOING VESSELS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.39568165,3.46314814,3.48389666,3.56939409,3.65574944,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,COMMERCIAL HARBOR CRAFT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.04790969,3.0381387,3.01978051,3.00611791,2.96522865,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,335.32145485,334.27293537,333.44879424,333.03651699,333.061425,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,49.65026425,49.9406443,50.24596859,50.52860102,50.82655261,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1862.19065563,1908.17517833,1953.51312685,2002.96018194,2041.73978998,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,13.78528959,13.85130364,13.82422615,14.10695685,13.17944693,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,120.40725602,116.79535287,115.23500624,114.38473598,113.19071858,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,BIOGENIC SOURCES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,GEOGENIC SOURCES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
STATEWIDE,NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,WILDFIRES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,17778.63810257,7172.04762221,7172.04762221,7172.04762221,7172.04762221,v1.03_RF3084
