AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2018,2019,2020,2021,2022,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,72.97622908,67.49662622,60.94011541,53.87376389,41.17886498,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,221.47581497,211.69760589,196.87193111,183.29026978,165.51940727,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.23450824,7.18111859,7.13644226,7.09583496,7.06630336,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.34685046,2.83121415,2.09632291,1.63011883,.92456033,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06440795,.06296483,.05954033,.06180663,.06176594,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.17570613,.16996063,.16443863,.16206276,.1582429,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.64518695,7.47574741,7.27745446,7.05998521,6.83371958,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.74688157,.66370413,.5904135,.52851167,.47244975,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.05324976,1.9050129,1.69551525,1.42322297,1.06501028,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.68792461,2.47783451,2.13880072,1.836622,1.41803281,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.42362223,2.25412451,2.10354348,1.97061071,1.85111842,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,AIRCRAFT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,49.46435349,52.56326541,53.5601817,54.57291559,55.6479456,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,TRAINS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,80.19994739,80.71116693,81.83656693,81.15725597,82.40183697,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,SHIPS AND COMMERCIAL BOATS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00554762,.00594519,.00583146,.00584883,.00606944,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OCEAN GOING VESSELS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,28.37608162,28.81595472,28.79006025,29.50745579,30.29785088,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,COMMERCIAL HARBOR CRAFT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,12.9021713,12.81071811,12.64515798,12.58759135,12.09548796,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,19.55572093,19.30920821,19.05881694,18.82257961,18.60549491,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.6414744,.65609773,.67095925,.68407041,.70031035,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,130.92914013,126.01212253,121.39998941,116.65899647,110.08883867,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,25.35149698,23.65825228,20.03238152,19.63117617,15.46102217,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,74.8238067,68.25594438,63.92597015,60.00708491,56.30894977,v1.03_RF3084
STATEWIDE,MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,v1.03_RF3084
